"品番","バーコード","品名","規格1","規格2","ロット","消費期限","在庫区分","総在庫数","在庫数","ロケーション"
"TOA-TM-PC-ELSSS-002","4582667351689","スクリーン拡大スマホスタンド14インチ","","","","","新品","135","135","A-05-1"
"TOA-TM-PC-ENTNE-001","4582667352433","ワイヤレスイヤホンentone(黒)","","","","","新品","372","372","D-01-1"
"TOA-TM-PC-ENTNE-002","4582667352440","ワイヤレスイヤホンentone(白)","","","","","新品","632","632","D-14-2"
"TOA-TM-PC-FRDZK-001","4582667346555","for?ts ナイトライト付きワイヤレス充電器","","","","","新品","184","36","F-06-1"
"TOA-TM-PC-GAMEK-001","4582667352464","ゲーミングキーボード","","","","","新品","77","77","C-23-1"
"TOA-TM-PC-GMHDS-001","4580743149472","ゲーミングヘッドホン","","","","","新品","285","285","C-08-3"
"TOA-TM-PC-GMOHK-001","4582667356752","FPS向け片手ゲーミングキーボード(40キー)","","","","","新品","199","199","C-08-2"
"TOA-TM-PC-HUBTC-001","4582667341512","7in1 usbハブ type-c","","","","","新品","20","20","B-10-3"
"TOA-TM-PC-KAGDT-001","4582667340799","雷ガード電源タップ(6個口)","","","","","新品","969","9","D-19-3"
"TOA-TM-PC-KAGDT-002","4582667340805","雷ガード電源タップ(4個口)","","","","","新品","13","13","E-05-1"
"TOA-TM-PC-KROKM-001","4582667352099","カラオケスピーカーマイク","","","","","新品","204","104","C-22-1"
"TOA-TM-PC-LEDDL-002","4582667358152","LEDデスクライトスリム","","","","","新品","150","150","D-06-3"
"TOA-TM-PC-LEDGH-001","4582667359982","LEDゲーミングヘッドセット","","","","","新品","297","57","C-05-3"
"TOA-TM-PC-PCLSD-001","4582667351443","PC LEDライトスタンド","","","","","新品","77","77","C-13-1"
"TOA-TM-PC-RM588-001","4582667359029","RM-588有線イヤホン","","","","","新品","103","103","D-03-1"
"TOA-TM-PC-SMEMP-001","4582667350514","スマート電子メモパッド","","","","","新品","199","199","B-07-3"
"TOA-TM-PC-SPCUS-004","4582667358626","スマホケース うさぎ（12 Pro）","","","","","新品","45","45","B-01-2"
"TOA-TM-PC-SPSTD-001","4570140090132","折りたたみ式スマホ＆タッブレト","","","","","新品","66","66","B-22-2"
"TOA-TM-PC-SSSBK-001","4570140091986","伸縮スマホ防水ケース","","","","","新品","1231","559","B-13-1"
"TOA-TM-PC-STASD-001","4582667358022","スマホ&タブレット用フレキシブルアームスタンド","","","","","新品","130","130","B-09-2"
"TOA-TM-PC-SWCST-001","4582667349457","スイッチ用スタンド","","","","","新品","219","219","D-11-1"
"TOA-TM-PC-TWTPN-001","4582667342038","ツーウェイタッチペン","","","","","新品","80","80","E-22-2"
"TOA-TM-PC-VRGG2-001","4582667358015","スマホ用ワイヤレスVRゴークルブラック","","","","","新品","248","68","E-22-1"
"TOA-TM-PC-WEBCC-001","4582667350477","WEBカメラカバー(黒)","","","","","新品","46","46","C-23-2"
"TOA-TM-PC-WREST-001","4582667358268","一体型リストレスト 低反発","","","40","","新品","413","413","A-14-3"
"TOA-TM-PC-WREST-002","4582667358275","マウス&キーボードリストレストセット 低反発","","","","","新品","365","125","E-01-2"
"TOA-TM-PPHOK-001","4580743146723","G ポップフック リス ブラウン","","","","","新品","185","185","B-04-1"
