"品番","バーコード","品名","規格1","規格2","ロット","消費期限","在庫区分","総在庫数","在庫数","ロケーション"
"TOA-TM-LV-FTPLA-001","4582667351054","FITwdh バスルームラック01","","","","","新品","17","17","C01-4"
"TOA-TM-LV-FTPLA-002","4582667351061","FITwdh バスルームラック02","","","","","新品","2","2","C01-4"
"TOA-TM-LV-FTPLA-003","4582667351078","FITwdh バスルームラック03","","","","","新品","4","4","B02-3"
"TOA-TM-LV-FTPLA-006","4582667351320","FITwdh マグネットコップスタンド","","","","","新品","10","10","B02-1"
"TOA-TM-LV-IKKHS-001","4582667352181","いつでもクリーンに壁紙保護シート","","","","","新品","88","88","A01-4"
"TOA-TM-LV-LEDWW-002","4562441900104","LEDデジタル置時計(ナチュラル)","","","","","新品","4","4","C01-6"
"TOA-TM-LV-MKSTC-001","4582667340515","マスク収納ケース","","","","","新品","35","35","B02-5"
"TOA-TM-LV-PCDCS-001","4582667357773","3ポケット カードケース","","","","","新品","8","8","A01-5"
"TOA-TM-LV-RBACC-001","4582667340171","レインボーアクリルケース(半円角柱)","","","","","新品","5","5","B02-4"
"TOA-TM-LV-RBACC-002","4582667340188","レインボーアクリルケース(高半円角柱)","","","","","新品","56","56","B02-5"
"TOA-TM-LV-RENST-001","4582667357780","リール付ネックストラップ（ブラック）","","","","","新品","10","10","B02-1"
"TOA-TM-LV-RENST-002","4582667357797","リール付ネックストラップ（グレー）","","","","","新品","13","13","A00-2"
"TOA-TM-LV-SBOSB-001","4582667353263","座れるバス型おもちゃ収納ボックス","","","","","新品","20","20","A02-4"
"TOA-TM-LV-SYNCS-001","4582667347750","収納ケース引き出し三段式","","","","","新品","58","58","C02-7"
"TOA-TM-MGPPH-001","4580743146709","G FITwdh マグネット収納 キッチンペーパーホルダー","","","","","新品","12","12","C02-6"
"TOA-TM-NLXPL-001","4580743145375","3D突起天然ラテックス枕","","","","","新品","7","7","C01-6"
"TOA-TM-OD-HDLT-001","4582667345787","ヘッドライト","","","","","新品","40","40","B02-3"
"TOA-TM-OD-IICIP-001","4570140092631","瞬間氷冷アイスパック","","","","","新品","92","92","LC01-3"
"TOA-TM-OD-SPLNT-001","4582667346067","スビカーランタン","","","","","新品","14","14","B02-3"
